"GEO_ID","NAME","B02011_001E","B02011_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US02367","ZCTA5 02367","10","10"
"8600000US02368","ZCTA5 02368","4101","725"
"8600000US02370","ZCTA5 02370","102","96"
"8600000US02375","ZCTA5 02375","269","166"
"8600000US02379","ZCTA5 02379","20","34"
"8600000US02382","ZCTA5 02382","72","82"
"8600000US02420","ZCTA5 02420","4837","400"
"8600000US02421","ZCTA5 02421","5739","471"
"8600000US02445","ZCTA5 02445","3444","468"
"8600000US02446","ZCTA5 02446","5852","693"
"8600000US02451","ZCTA5 02451","2829","479"
"8600000US02452","ZCTA5 02452","2001","310"
"8600000US02453","ZCTA5 02453","3072","627"
"8600000US02457","ZCTA5 02457","402","120"
"8600000US02458","ZCTA5 02458","1901","472"
"8600000US02459","ZCTA5 02459","3630","558"
"8600000US02460","ZCTA5 02460","1191","288"
"8600000US02461","ZCTA5 02461","1525","361"
"8600000US02462","ZCTA5 02462","312","112"
"8600000US02464","ZCTA5 02464","774","313"
"8600000US02465","ZCTA5 02465","1658","319"
"8600000US02466","ZCTA5 02466","1522","253"
"8600000US02467","ZCTA5 02467","4259","560"
"8600000US02468","ZCTA5 02468","715","178"
"8600000US02472","ZCTA5 02472","3578","500"
"8600000US02474","ZCTA5 02474","4442","633"
"8600000US02476","ZCTA5 02476","2109","419"
"8600000US02478","ZCTA5 02478","4806","460"
"8600000US02481","ZCTA5 02481","1963","289"
"8600000US02482","ZCTA5 02482","1735","290"
"8600000US02492","ZCTA5 02492","1585","271"
"8600000US02493","ZCTA5 02493","1649","442"
"8600000US02494","ZCTA5 02494","1517","264"
"8600000US02532","ZCTA5 02532","465","316"
"8600000US02534","ZCTA5 02534","0","12"
"8600000US02535","ZCTA5 02535","17","20"
"8600000US02536","ZCTA5 02536","467","321"
"8600000US02537","ZCTA5 02537","135","186"
"8600000US02538","ZCTA5 02538","58","71"
"8600000US02539","ZCTA5 02539","33","77"
"8600000US02540","ZCTA5 02540","423","206"
"8600000US02542","ZCTA5 02542","19","28"
"8600000US02543","ZCTA5 02543","0","12"
"8600000US02553","ZCTA5 02553","0","12"
"8600000US02554","ZCTA5 02554","227","118"
"8600000US02556","ZCTA5 02556","77","114"
"8600000US02557","ZCTA5 02557","0","12"
"8600000US02558","ZCTA5 02558","10","16"
"8600000US02559","ZCTA5 02559","0","12"
"8600000US02561","ZCTA5 02561","0","12"
